Unnamed: 0,series_name,director_name,genre,ratings,performers,ott_platform
1,Commando,Vipul Amrutlal Shah,"2023, 4 Episodes",3.5,"Prem Pariijaa, Adah Sharma, Shreya Chaudhary, Vaibhav Tatwawadi, Amit Sialm, Tigmanshu Dhulia, Hiren Rathod, Shabnam Vadhera, Pavneet Singh Bagga, Jassi Kapoor, Sangramsingh Thakur, Mukesh Chhabra, Shaji Chaudhary, Ishtiyak Khan, Prem, Manini Chadha",Disney+ Hotstar
2,The Kashmir Files: Unreported,Vivek Agnihotri,"2023, 7 Episodes",1.3,"Vivek Agnihotri, Pallavi Joshi",Zee5
3,Made in Heaven Season 2,"Zoya Akhtar, Nitya Mehra, Alankrita Shrivastava, Neeraj Ghaywan","2023, 7 Episodes",2.9,"Arjun Mathur, Sobhita Dhulipala, Jim Sarbh, Shashank Arora, Kalki Koechlin, Shivani Raghuvanshi",Prime Video
7,The Jengaburu Curse,Nila Madhab Panda,"2023, 7 Episodes",3.9,"Faria Abdullah, Nassar, Makrand Deshpande, Sudev Nair, Deepak Sampat, Hitesh Dave, Melanie Gray, Charlie Allen, Sabrina Nabi, Mark Adams",SonyLIV
9,Zombieverse,No description available,"2023, 8 Episodes",0.8,"Lee Si-young, Ro Hong-chul, Park Na-rae, Dex, DinDin, Tsuki, Yoo Hee-kwan, Yiombi Jonathan, Yiombi Patricia, Kkwachu Hyung",Netflix
11,The Hunt for Veerappan,Selvamani Selvaraj,"2023, 4 Episodes",3.7,Not decided,Netflix
13,Heartstopper Season 2,Euros Lyn,"2023, 8 Episodes",1.6,"Joe Locke, Kit Connor, Yasmin Finney, William Gao, Cormac Hyde-Corrin, Tobie Donovan, Rhea Norwood, Sebastian Croft, Olivia Colman",Netflix
14,Physical Season 3,Stephanie Laing,"2023, 10 Episodes",3.5,"Rose Byrne, Zooey Deschanel, Rory Scovel, Paul Sparks, Della Saba, Lou Taylor Pucci, Dierdre Friel",Apple TV+
17,A Perfect Story,Chloé Wallace,"2023, 5 Episodes",4.5,"Ingrid García Jonsson, Anna Castillo, Álvaro Mel, Ana Belén, Elena Irureta, Lourdes Hernández, Joseph Ewonde, Ane Gabarain, Sergio Pozo",Netflix
18,Captain Fall,No description available,"2023, 10 Episodes",4.3,"Anthony Carrigan, Alejandro Edda, Trond Fausa, Lesley-Ann Brandt, André Eriksen, Jason Ritter, Christopher Meloni, Cedric Yarbrough",Netflix
20,Good Omens Season 2,Douglas Mackinnon,"2023, 6 Episodes",4.3,"David Tennant, Michael Sheen, Paul Adeyefa, Michael McKean, Gloria Obianyo, Miranda Richardson, Maggie Service, Reece Shearsmith, Nina Sosanya, Abigail Lawrie",Prime Video
22,The Tailor Season 2,Cem Karci,"2023, 8 Episodes",4.3,"Çağatay Ulusoy, Şifanur Gül, Salih Bademci, Olgun Şimşek",Netflix
24,Kaalkoot,Sumit Saxena,"2023, 6 Episodes",3.8,"Vijay Varma, Shweta Tripathi, Yashpal Sharma, Gopal Datt, Seema Biswas",JioCinema
25,Half CA,Pratish Mehta,"2023, 5 Episodes",3.7,"Ahsaas Channa, Gyanendra Tripathi, Anmol Kajani, Rohit Tiwari, Manu Bisht, Prit Kamani, Rohan Joshi",Amazon miniTV
26,Jim Gaffigan: Dark Pale,Jim Gaffigan,2023,0.5,Jim Gaffigan,Prime Video
27,Aashiqana Season 4,Gul Khan,2023,3.3,"Zayn Ibad Khan, Khushi Dubey",Disney+ Hotstar
30,Do Gubbare,Varun Narvekar,"2023, 6 Episodes",4.2,"Mohan Agashe, Siddharth Shaw, Malhaar Rathod, Manasi Parekh, Hemangi Kavi",JioCinema
34,Kohrra,Randeep Jha,"2023, 6 Episodes",3.8,"Suvinder Vicky, Barun Sobti, Varun Badola, Harleen Sethi, Rachel Shelly, Manish Chaudhary",Netflix
35,C.H.U.E.C.O.,"Daniel Casablanca, Kida Kawer","2023, 13 Episodes",4.5,"Darío Barassi, Consuelo Duval, Agustín Aristarán, Santiago Torres, Maryel Abrego, Pato Alvarado Loza, Patricio Alvarado, Guido Massri, Macarena Giráldez, Marina Bellati, Verónica Langer, David Ostrosky",Disney+ Hotstar
36,College Romance Season 4,"Ashutosh Chaturvedi, Pankaj Mavchi",2023,3.7,"Apoorva Arora, Gagan Arora, Keshav Sadhna, Shreya Mehta, Nupur Nagpal, Manjot Singh, Eklavey Kashyap, Jhanvi Rawat",SonyLIV
37,Foundation Season 2,No description available,"2023, 10 Episodes",2.8,"Francis Terry, Holt McCallany, Rachel House, Mikael Persbrandt, Ben Daniels, Ella-Rae Smith, Nimrat Kaur, Isabella Laughland",Apple TV+
38,LOL: Last One Laughing Naija,No description available,"2023, 6 Episodes",4.5,"Basketmouth, Bukunmi Adeaga-Ilori, Onyebuchi Ojieh, Oluwatoyin Albert Tomama, Bethel Njoku, Sabinus, Okey Bakasi, Igosave, Tony Ereku, Acapella, Maryam Apaokagi",Prime Video
